10	0.25	6473
10	0.5	7200
10	0.75	7739
10	1	7863
50	0.25	207634
50	0.5	286677
50	0.75	242072
50	1	249446
100	0.25	761579
100	0.5	1198869
100	0.75	1437564
100	1	1522048
500	0.25	11909466
500	0.5	8482196
500	0.75	1825073
500	1	33958689
1000	0.25	34500479
1000	0.5	22671704
1000	0.75	12203558
1000	1	28030692
